Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,clean_text,normalized_comment,stopword_clean
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,bu guru enakan jadi jablay atau guru esde sih. kayaknya menikmati jadi pecun ini guru.,bu guru enakan jadi jablay atau guru esde sih. kayaknya menikmati jadi pecun ini guru.,bu guru enakan jablay guru esde sih. kayaknya menikmati pecun guru.
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,"lawan bicara gw gak intelek kyk loe, yg otak gak punya. ttg kencing onta, gw mengakui hadis nabi dan itu sahih. kafir kyk loe pasti menolak, makanya loe ahlunnar.","lawan bicara saya tidak intelek kyk loe, yang otak tidak punya. ttg kencing onta, saya mengakui hadis nabi dan itu sahih. kafir kyk kamu pasti menolak, makanya kamu ahlunnar.","lawan bicara saya tidak intelek kyk loe, otak tidak punya. ttg kencing onta, saya mengakui hadis nabi sahih. kafir kyk kamu pasti menolak, makanya kamu ahlunnar."
Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,belakangan ini kok fikiran ampas banget ya,belakangan ini kok fikiran ampas banget ya,belakangan fikiran ampas banget
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,ari sarua beki mah repeh monyet,ari sarua beki mah repeh monyet,ari sarua beki mah repeh monyet
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0,jadi cowo itu harus gantle kalo ga gantle itu namanya banci !,jadi cowo itu harus gantle kalau tidak gantle itu namanya banci !,cowo harus gantle kalau tidak gantle namanya banci !
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,slga mnr bom,slga mnr bom,slga mnr bom
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,"asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.","jawab ya tapi saya jarang ngambek, tacut wkkwkwkwkw saya kan bucin.","jawab tapi saya jarang ngambek, tacut wkkwkwkwkw saya bucin."
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,kalo kamu noob pasti peluang disakitin nya lebih gede si,kalau kamu noob pasti peluang disakitin nya lebih gede si,kalau kamu noob pasti peluang disakitin lebih gede
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,"joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g","joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g","joko widodo dinilai sebagai presiden terlemah sejarah indonesia. hal terjadi jokowi tidak memiliki modal dukungan politik cukup, melainkan juga ketidakmampuan pemerintahannya menghadapi situasi ekonomi g"
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,0,0,0,0,0,0,pelajar sma kec bilah hilir deklarasi anti hoax pilkada 2018 damai,pelajar sma kecamatan bilah hilir deklarasi anti hoax pilkada 2018 damai,pelajar sma kecamatan bilah hilir deklarasi anti hoax pilkada 2018 damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat. insya allah siap beroperasi bulan depan,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat. insya allah siap beroperasi bulan depan,bandara udara internasional kertajati dibangun gubernur ahmad heryawan gunakan apbn pemerintah pusat. insya allah siap beroperasi bulan depan
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",0,0,0,0,0,0,0,0,0,0,0,0,"siapapun gubernur dan presidennya, rakyatnya, ya kita juga...","siapapun gubernur dan presidennya, rakyatnya, ya kita juga...","siapapun gubernur presidennya, rakyatnya, kita juga..."
Ini si USER kerjaannya delay mulu! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,ini si kerjaannya delay mulu! setan!,ini si kerjaannya delay mulu! setan!,kerjaannya delay mulu! setan!
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga ada pintu sorga asli pintu hatimu modusbanget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.,pki muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong.
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus,itu mah sudah nenek-nenek saya heran sama cebong biasay bohong terus,mah nenek-nenek saya heran sama cebong biasay bohong terus
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,"islam nusantara produk jil, dipasarkan dg gencar oleh antek jil. sementara jil anti arab, tapi pro aseng! kata alm kh. hasyim muzadi,","islam nusantara produk jil, dipasarkan dg gencar oleh antek jil. sementara jil anti arab, tapi pro aseng! kata alm kh. hasyim muzadi,","islam nusantara produk jil, dipasarkan dg gencar antek jil. jil anti arab, tapi pro aseng! kata alm kh. hasyim muzadi,"
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,dari habis sahur sampe jam 10. sibayik udah nete 4x. skg rasanya lemas tak terkira,dari habis sahur sampe jam 10. sibayik udah nete 4x. skg rasanya lemas tak terkira,habis sahur sampe jam 10. sibayik udah nete 4x. skg rasanya lemas tak terkira
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,gak kak emak mah gak demen ama yang sipit wkwk,tidak kak emak mah tidak demen ama yang sipit wkwk,tidak kak emak mah tidak demen ama sipit
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1,0,0,0,0,0,0,0,0,0,0,"kelakuan homok jaman now, ngentot aja sambil live di blued gayvid gvid lokalhangat","kelakuan homok jaman now, ngentot saja sambil live di blued gayvid gvid lokalhangat","kelakuan homok jaman now, ngentot sambil live blued gayvid gvid lokalhangat"
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,0,0,0,0,0,0,"ga kak, gua bukan orang jawa maaf yak gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. atau kalak mau belajar budaya palembang?","tidak kak, saya bukan orang jawa maaf yak saya orang palembang soalnya, kakak saja deh yang belajar aksara jawa. atau kalak ingin belajar budaya palembang?","tidak kak, saya orang jawa maaf yak saya orang palembang soalnya, kakak deh belajar aksara jawa. kalak ingin belajar budaya palembang?"
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari,pegawai guardian training lagi kek mentang2 saya kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur saya ke matahari,pegawai guardian training kek mentang2 saya kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur saya matahari
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,1,0,0,0,0,0,0,0,0,0,0,para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat!! sanji hbd17thpelautjkt48,para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat!! sanji hbd17thpelautjkt48,bajingan melukai lady harus menerima ganjaran seratus kali lipat!! sanji hbd17thpelautjkt48
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,0,0,0,0,0,0,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,ajakan menolak berita hoax sukseskan pilkada wilayah kota keidri
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,0,0,0,0,0,0,0,0,0,0,0,presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw,presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw,presiden ri jokowi luarbiasa kerja tulus ihlas rakyatb3rsamajkw
Edan emang goollnya fabiano!!',0,1,0,0,0,0,0,0,0,0,0,0,edan emang goollnya fabiano!!,edan emang goollnya fabiano!!,edan emang goollnya fabiano!!
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,gapernah mendalami al-quran ya bang??? pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,gapernah mendalami al-quran ya bang??? pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,gapernah mendalami al-quran bang??? pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,0,0,0,0,0,0,0,0,0,0,0,"sangat terlihat beda sekali kewibawaannya , yg sangat berwibawa cuma gubernur indonesia massya allah...","sangat terlihat beda sekali kewibawaannya , yang sangat berwibawa cuma gubernur indonesia massya allah...",sangat terlihat beda sekali kewibawaannya sangat berwibawa gubernur indonesia massya allah...
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,1,0,1,0,0,0,0,1,0,1,0,anjir baru kali ini lihat orang bego mau debat pilkada. kerjanya nyerang karakter. shame on you mpok silvy and agus. debatfinalpilkadajkt,anjing baru kali ini lihat orang bego ingin debat pilkada. kerjanya nyerang karakter. shame on you mpok silvy and agus. debatfinalpilkadajkt,anjing kali lihat orang bego ingin debat pilkada. kerjanya nyerang karakter. shame on you mpok silvy and agus. debatfinalpilkadajkt
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",0,0,0,0,0,0,0,0,0,0,0,0,"gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, ?? tutur djarot di hadapan peserta rakercabsu ?","gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, ?? tutur djarot di hadapan peserta rakercabsu ?","gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, tutur djarot hadapan peserta rakercabsu"
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",0,0,0,0,0,0,0,0,0,0,0,0,"apa iya islam itu ga boleh dilokalisasi? lha kristen aja mas ada nusantaranya mas, liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa, ada hkbp juga kurang nusantara apa?","apa iya islam itu tidak boleh dilokalisasi? lha kristen saja mas ada nusantaranya mas, liat saja di gereja di bandung ada yang pake gamelan dan ada yang khotbah pake bhs sunda jawa, ada hkbp juga kurang nusantara apa?","apa iya islam tidak dilokalisasi? lha kristen mas ada nusantaranya mas, liat gereja bandung ada pake gamelan ada khotbah pake bhs sunda jawa, ada hkbp juga kurang nusantara apa?"
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",0,0,0,0,0,0,0,0,0,0,0,0,"ciptakan situasi kamtibmas menjelang pilkada 2018, kapolsek konang silaturahmi ke tokoh masyarakat","ciptakan situasi kamtibmas menjelang pilkada 2018, kapolsek konang silaturahmi ke tokoh masyarakat","ciptakan situasi kamtibmas menjelang pilkada 2018, kapolsek konang silaturahmi tokoh masyarakat"
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,0,0,0,0,0,0,0,0,0,0,0,0,positif kok. se-positif respon masyarakat terhadap - cangkul impor - garam impor - beras impor - jagung impor - tenaga kerja impor - esemka impor url,positif kok. se-positif respon masyarakat terhadap - cangkul impor - garam impor - beras impor - jagung impor - tenaga kerja impor - esemka impor url,positif kok. se-positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor url
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,0,0,0,0,0,0,0,0,0,0,0,"kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu. istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal , sama dengan shalat menyembah all","kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu. istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal , sama dengan shalat menyembah all",kata sembahyang mengadopsi tradisi lokal masa kerjaan hindu. istilah sembahyang lahir tradisi ritus menyembahhyang tunggal sama shalat menyembah all
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,kau pendikan tinggi tapi bodoh....gk ada larang bawa agama..biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,kau pendikan tinggi tapi bodoh....gk ada larang bawa agama..biar orang islam yang di bayar ahok sadar tidak jadi milih ahok gla,kau pendikan tinggi tapi bodoh....gk ada larang bawa agama..biar orang islam bayar ahok sadar tidak milih ahok gla
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",1,1,0,1,0,0,0,0,1,0,1,0,"btp the best ,,,abaikan kaum kampret otak micin ,,,","btp the best ,,,abaikan kaum kampret otak micin ,,,","btp the best ,,,abaikan kaum kampret otak micin ,,,"
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",1,1,1,0,0,0,0,0,1,1,0,0,", si otak tempurung mah ga usah d ladenin. smkn d lawan semakin bloon dan dungu. dan kalo ga gitu dia ga makan. hehe",", si otak tempurung mah tidak usah d ladenin. smkn d lawan semakin bloon dan dungu. dan kalau tidak gitu dia tidak makan. hehe",otak tempurung mah tidak usah d ladenin. smkn d lawan semakin bloon dungu. kalau tidak gitu dia tidak makan.
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,"awaasss... jgn sampe beritanya sampe ke akhi gerung! ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. politik kotor skl jmn ini! . klu tahu brt ini.. plng sambil ky nhn ngeden.. dungu! .","awaasss... jgn sampe beritanya sampe ke akhi gerung! ntar susah nyari kosakatany. klu bcr saja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. politik kotor skl jmn ini! . klu tahu brt ini.. plng sambil ky nhn ngeden.. dungu! .","awaasss... jgn sampe beritanya sampe akhi gerung! ntar susah nyari kosakatany. klu bcr micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. politik kotor skl jmn ini! klu tahu brt ini.. plng sambil ky nhn ngeden.. dungu!"
pinokio umur 3 taonan tuh. #2019GantiPresiden,1,0,1,0,0,0,0,0,1,1,0,0,pinokio umur 3 taonan tuh. 2019gantipresiden,pinokio umur 3 taonan tuh. 2019gantipresiden,pinokio umur 3 taonan tuh. 2019gantipresiden
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'",0,0,0,0,0,0,0,0,0,0,0,0,"cerita silat lae semacam kho ping hoo yang dari indonesia, tapi liang ie shen penulis dari china","cerita silat lae semacam kho ping hoo yang dari indonesia, tapi liang ie shen penulis dari china","cerita silat lae semacam kho ping hoo indonesia, tapi liang ie shen penulis china"
RT USER benci sekali dgn Umat Islam,1,0,0,1,1,0,0,0,0,0,1,0,benci sekali dgn umat islam,benci sekali dengan umat islam,benci sekali umat islam
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,1,1,0,0,1,0,0,0,1,0,0,"provokasi mayat, politisasi agama penyebab kekalahan pilkada dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya. fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita","provokasi mayat, politisasi agama penyebab kekalahan pilkada dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya. fyi ahog blm pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayorita","provokasi mayat, politisasi agama penyebab kekalahan pilkada dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya. fyi ahog blm pernah ikut pemilihan apapun kecamatan wakil dia bukanlah etnis mayorita"
USER dari pada gua nete',0,1,0,0,0,0,0,0,0,0,0,0,dari pada gua nete,dari pada saya nete,saya nete
USER Lol bani lowo',1,1,0,1,0,0,0,0,1,0,1,0,lol bani lowo,lol bani lowo,lol bani lowo
